call_count,occurrences,percentage
4,33,0.0000033
5,132,0.0000132
6,362,0.0000362
7,723,0.0000723
8,1281,0.0001281
9,2147,0.0002147
10,3330,0.0003330
11,4869,0.0004869
12,6954,0.0006954
13,9466,0.0009466
14,12647,0.0012647
15,16659,0.0016659
16,21077,0.0021077
17,26602,0.0026602
18,33221,0.0033221
19,40297,0.0040297
20,48887,0.0048887
21,58301,0.0058301
22,69199,0.0069199
23,80876,0.0080876
24,94294,0.0094294
25,108573,0.0108573
26,123813,0.0123813
27,140937,0.0140937
28,157539,0.0157539
29,177360,0.0177360
30,195822,0.0195822
31,216557,0.0216557
32,236653,0.0236653
33,257336,0.0257336
34,276561,0.0276561
35,297671,0.0297671
36,315986,0.0315986
37,333596,0.0333596
38,348798,0.0348798
39,362653,0.0362653
40,376680,0.0376680
41,383933,0.0383933
42,390168,0.0390168
43,391861,0.0391861
44,392304,0.0392304
45,386884,0.0386884
46,378469,0.0378469
47,367226,0.0367226
48,351837,0.0351837
49,332486,0.0332486
50,311325,0.0311325
51,288801,0.0288801
52,263377,0.0263377
53,235694,0.0235694
54,208408,0.0208408
55,182118,0.0182118
56,154336,0.0154336
57,128690,0.0128690
58,105135,0.0105135
59,83727,0.0083727
60,64612,0.0064612
61,48219,0.0048219
62,34625,0.0034625
63,23539,0.0023539
64,15217,0.0015217
65,9386,0.0009386
66,5338,0.0005338
67,2709,0.0002709
68,1190,0.0001190
69,383,0.0000383
70,95,0.0000095
71,16,0.0000016
