value,count
1,974
2,1064
3,1028
4,928
5,1032
6,934
7,946
8,1005
9,1044
10,1008
11,982
12,1017
13,980
14,1013
15,986
16,989
17,1024
18,942
19,1025
20,964
21,970
22,1001
23,949
24,973
25,985
26,966
27,995
28,987
29,1030
30,1047
31,1000
32,998
33,1014
34,1010
35,956
36,1005
37,976
38,1005
39,993
40,967
41,992
42,947
43,990
44,962
45,1044
46,1039
47,1007
48,1074
49,995
50,987
51,967
52,981
53,1062
54,999
55,986
56,1023
57,976
58,1004
59,1010
60,1034
61,989
62,991
63,965
64,1001
65,1040
66,1040
67,1041
68,1061
69,1007
70,985
71,958
72,1026
73,1055
74,1026
75,999
76,999
77,1070
78,997
79,1033
80,992
81,985
82,973
83,945
84,1025
85,1010
86,1011
87,989
88,977
89,1021
90,958
91,1059
92,955
93,988
94,998
95,973
96,997
97,1006
98,1000
99,1060
100,1004
