value,count
1,1059
2,1018
3,1009
4,960
5,1019
6,981
7,1000
8,944
9,1038
10,964
11,993
12,1007
13,1019
14,963
15,984
16,980
17,1046
18,982
19,1007
20,1016
21,1009
22,1016
23,987
24,1031
25,1007
26,994
27,983
28,1007
29,993
30,1043
31,1005
32,991
33,998
34,1020
35,1013
36,977
37,1008
38,1044
39,988
40,943
41,1011
42,990
43,1005
44,1072
45,998
46,986
47,1022
48,1040
49,1000
50,1010
51,1016
52,993
53,976
54,1033
55,1028
56,976
57,969
58,976
59,975
60,1028
61,1000
62,997
63,963
64,1044
65,969
66,989
67,1055
68,995
69,987
70,1008
71,960
72,959
73,1008
74,964
75,975
76,997
77,1032
78,1016
79,1029
80,1043
81,943
82,970
83,960
84,964
85,1071
86,1001
87,998
88,963
89,962
90,1011
91,947
92,1010
93,1017
94,1059
95,1016
96,987
97,1015
98,1025
99,954
100,987
